reg_number,bank,branch_name,address,city,branch_phone,url,note,history
0159,Nordea,Nordea Lyngby Afdeling,"Lyngby Torv 2, 2800 Kgs. Lyngby",Kgs. Lyngby,+4570333333,www.nordea.dk,Lyngby,
0160,Nordea,Nordea Holte Afdeling,"Holte Stationsvej 20, 2840 Holte",Holte,+4570333333,www.nordea.dk,Holte,
0161,Nordea,,,,,www.nordea.dk,Bo-Administrationen,
0163,Nordea,Nordea Nørreport Afdeling,"Frederiksborggade 14-16, 1360 København K",København K,+4570333333,www.nordea.dk,Nørreport,
0164,Nordea,Nordea Svanemølle Afdeling,"Østerbrogade 137, 2100 København Ø",København Ø,+4570333333,www.nordea.dk,Svanemølle,
0165,Nordea,Nordea Tårnby Afdeling,"Tårnby Torv 9, 2770 Kastrup",Kastrup,+4570333333,www.nordea.dk,Tårnby,
0166,Nordea,Nordea Sundbyvester Afdeling,"Amagerbrogade 245, 2300 København S",København S,+4570333333,www.nordea.dk,Sundbyvester,
0167,Nordea,Nordea Nørrebro Afdeling,"Nørrebrogade 180, 2200 København N",København N,+4570333333,www.nordea.dk,Nørrebro,
0168,Nordea,Nordea Vesterport Afdeling,"Vesterbrogade 8, 1620 København V",København V,+4570333333,www.nordea.dk,Vesterport,
0169,Nordea,Nordea Hvidovre Afdeling,"Hvidovrevej 338B, 2650 Hvidovre",Hvidovre,+4570333333,www.nordea.dk,Hvidovre,
0170,Nordea,Nordea Islands Brygge Afdeling,"Njalsgade 72B, 2300 København S",København S,+4570333333,www.nordea.dk,Islands Brygge,
0171,Nordea,Nordea Holte Afdeling,"Holte Stationsvej 20, 2840 Holte",Holte,+4570333333,www.nordea.dk,Holte,
0172,Nordea,Nordea Vesterport Afdeling,"Vesterbrogade 8, 1620 København V",København V,+4570333333,www.nordea.dk,Vesterport,
0173,Nordea,Nordea Sundbyvester Afdeling,"Amagerbrogade 245, 2300 København S",København S,+4570333333,www.nordea.dk,Sundbyvester,
